# Large body (blockage 3/9) 
#
# The file contains PIV data for a turbulent pipe flow past a body of revolution on the centerline.
# Geometry of the body and details of the experiment can be found in:  
#
#   L. Ding, T. Saxton-Fox, M. Hultmark, and A. J. Smits 
#   Effects of pressure gradients and streamline curvature on the statistics of a turbulent pipe flow. 
#   In 11th International Symposium on Turbulence and Shear Flow Phenomena, Southampton, UK, 2019 
#
# Paramters of the fully-developed pipe flow upstream of the body: 
#
#   Pipe diameter, D = 38.1 mm 
#   Bulk velocity, Ub = 4.1 m/s 
#   Friction velocity, utau = 0.186 m/s 
#   Kinematic viscosity, nu = 1.0035e-06 m^2/s 
#   Bulk Reynolds number, Re_D = 156,000 
#   Friction Reynolds number, Re_tau = 3,550 
#
# In the data below, Ux and Ur are normalized by Ub, and <ux^2>, <ur^2> and <uxur> are normalized by utau^2. 
#
# x/R r/R y/R Ux Ur <ux^2> <ur^2> <uxur> 
0.0000 0.5561 0.4439 1.0972 0.0728 2.3226 1.0436 0.3890 
0.0000 0.5658 0.4342 1.0944 0.0699 2.3605 1.0583 0.4025 
0.0000 0.5756 0.4244 1.0915 0.0665 2.4015 1.0707 0.4174 
0.0000 0.5854 0.4146 1.0878 0.0635 2.4556 1.0840 0.4329 
0.0000 0.5951 0.4049 1.0836 0.0607 2.5364 1.1027 0.4477 
0.0000 0.6049 0.3951 1.0804 0.0579 2.5968 1.1258 0.4613 
0.0000 0.6146 0.3854 1.0779 0.0559 2.6280 1.1453 0.4740 
0.0000 0.6244 0.3756 1.0763 0.0551 2.6792 1.1561 0.4863 
0.0000 0.6341 0.3659 1.0747 0.0544 2.7320 1.1615 0.4982 
0.0000 0.6439 0.3561 1.0721 0.0535 2.7703 1.1651 0.5094 
0.0000 0.6537 0.3463 1.0690 0.0521 2.8148 1.1697 0.5196 
0.0000 0.6634 0.3366 1.0663 0.0503 2.8622 1.1777 0.5288 
0.0000 0.6732 0.3268 1.0635 0.0491 2.9257 1.1892 0.5370 
0.0000 0.6829 0.3171 1.0602 0.0482 2.9896 1.2062 0.5445 
0.0000 0.6927 0.3073 1.0565 0.0474 3.0390 1.2199 0.5519 
0.0000 0.7024 0.2976 1.0525 0.0456 3.0905 1.2245 0.5603 
0.0000 0.7122 0.2878 1.0483 0.0425 3.1506 1.2292 0.5704 
0.0000 0.7219 0.2781 1.0442 0.0401 3.2086 1.2368 0.5816 
0.0000 0.7317 0.2683 1.0394 0.0387 3.2636 1.2466 0.5929 
0.0000 0.7415 0.2585 1.0351 0.0374 3.3284 1.2580 0.6037 
0.0000 0.7512 0.2488 1.0318 0.0363 3.4053 1.2701 0.6140 
0.0000 0.7610 0.2390 1.0276 0.0345 3.4623 1.2856 0.6243 
0.0000 0.7707 0.2293 1.0225 0.0321 3.5049 1.2945 0.6349 
0.0000 0.7805 0.2195 1.0164 0.0298 3.5770 1.3025 0.6455 
0.0000 0.7902 0.2098 1.0105 0.0281 3.6435 1.3157 0.6556 
0.0000 0.8000 0.2000 1.0052 0.0271 3.7030 1.3212 0.6653 
0.0000 0.8097 0.1903 0.9990 0.0257 3.7711 1.3270 0.6755 
0.0000 0.8195 0.1805 0.9928 0.0241 3.8265 1.3425 0.6867 
0.0000 0.8293 0.1707 0.9863 0.0232 3.9012 1.3502 0.6985 
0.0000 0.8390 0.1610 0.9794 0.0226 3.9748 1.3552 0.7099 
0.0000 0.8488 0.1512 0.9720 0.0213 4.0611 1.3660 0.7198 
0.0000 0.8585 0.1415 0.9645 0.0203 4.1618 1.3706 0.7271 
0.0000 0.8683 0.1317 0.9579 0.0195 4.2401 1.3666 0.7313 
0.0000 0.8780 0.1220 0.9496 0.0175 4.3380 1.3618 0.7331 
0.0000 0.8878 0.1122 0.9402 0.0154 4.4269 1.3604 0.7332 
0.0000 0.8976 0.1024 0.9299 0.0140 4.5511 1.3671 0.7324 
0.0000 0.9073 0.0927 0.9178 0.0125 4.7191 1.3795 0.7313 
0.0000 0.9171 0.0829 0.9049 0.0116 4.8355 1.3738 0.7287 
0.0000 0.9268 0.0732 0.8887 0.0111 5.0023 1.3523 0.7228 
0.0000 0.9366 0.0634 0.8707 0.0102 5.1164 1.3233 0.7110 
0.0000 0.9463 0.0537 0.8506 0.0091 5.2581 1.2816 0.6948 
0.0000 0.9561 0.0439 0.8271 0.0065 5.5485 1.2518 0.6737 
0.0000 0.9658 0.0342 0.8009 0.0045 5.9648 1.2560 0.6498 
0.0000 0.9756 0.0244 0.7794 0.0048 6.4032 1.1752 0.6263 
0.1000 0.2014 0.7986 1.0821 0.3870 1.8578 1.3681 0.5068 
0.1000 0.2111 0.7889 1.0840 0.3609 1.6231 1.2852 0.4719 
0.1000 0.2209 0.7791 1.0870 0.3380 1.4742 1.2528 0.4294 
0.1000 0.2307 0.7693 1.0904 0.3179 1.3680 1.1885 0.3829 
0.1000 0.2404 0.7596 1.0938 0.3007 1.3126 1.1323 0.3385 
0.1000 0.2502 0.7498 1.0972 0.2856 1.2848 1.0916 0.2998 
0.1000 0.2599 0.7401 1.1001 0.2721 1.2811 1.0602 0.2710 
0.1000 0.2697 0.7303 1.1027 0.2586 1.2851 1.0375 0.2505 
0.1000 0.2794 0.7206 1.1051 0.2456 1.2933 1.0170 0.2359 
0.1000 0.2892 0.7108 1.1069 0.2335 1.3045 1.0052 0.2251 
0.1000 0.2989 0.7011 1.1082 0.2226 1.3194 0.9922 0.2161 
0.1000 0.3087 0.6913 1.1098 0.2131 1.3327 0.9717 0.2084 
0.1000 0.3185 0.6815 1.1119 0.2045 1.3436 0.9515 0.2027 
0.1000 0.3282 0.6718 1.1138 0.1965 1.3640 0.9354 0.2000 
0.1000 0.3380 0.6620 1.1155 0.1892 1.3885 0.9332 0.2007 
0.1000 0.3477 0.6523 1.1167 0.1821 1.4202 0.9348 0.2043 
0.1000 0.3575 0.6425 1.1173 0.1752 1.4540 0.9238 0.2098 
0.1000 0.3672 0.6328 1.1179 0.1681 1.4877 0.9215 0.2163 
0.1000 0.3770 0.6230 1.1188 0.1610 1.5222 0.9254 0.2231 
0.1000 0.3867 0.6133 1.1197 0.1547 1.5559 0.9267 0.2296 
0.1000 0.3965 0.6035 1.1208 0.1498 1.5925 0.9271 0.2354 
0.1000 0.4063 0.5937 1.1222 0.1462 1.6251 0.9301 0.2405 
0.1000 0.4160 0.5840 1.1235 0.1430 1.6613 0.9316 0.2456 
0.1000 0.4258 0.5742 1.1242 0.1393 1.6921 0.9288 0.2515 
0.1000 0.4355 0.5645 1.1238 0.1343 1.7255 0.9301 0.2583 
0.1000 0.4453 0.5547 1.1230 0.1287 1.7756 0.9434 0.2657 
0.1000 0.4550 0.5450 1.1224 0.1238 1.8316 0.9541 0.2731 
0.1000 0.4648 0.5352 1.1219 0.1196 1.8862 0.9600 0.2801 
0.1000 0.4746 0.5254 1.1221 0.1158 1.9291 0.9616 0.2866 
0.1000 0.4843 0.5157 1.1215 0.1116 1.9641 0.9588 0.2934 
0.1000 0.4941 0.5059 1.1198 0.1076 2.0055 0.9624 0.3017 
0.1000 0.5038 0.4962 1.1179 0.1039 2.0462 0.9715 0.3120 
0.1000 0.5136 0.4864 1.1157 0.0998 2.0803 0.9814 0.3241 
0.1000 0.5233 0.4767 1.1134 0.0956 2.1156 0.9909 0.3380 
0.1000 0.5331 0.4669 1.1110 0.0917 2.1562 1.0095 0.3537 
0.1000 0.5428 0.4572 1.1090 0.0893 2.2013 1.0328 0.3706 
0.1000 0.5526 0.4474 1.1077 0.0882 2.2455 1.0503 0.3878 
0.1000 0.5624 0.4376 1.1068 0.0872 2.2965 1.0683 0.4043 
0.1000 0.5721 0.4279 1.1052 0.0856 2.3511 1.0842 0.4188 
0.1000 0.5819 0.4181 1.1030 0.0832 2.4005 1.0880 0.4310 
0.1000 0.5916 0.4084 1.1005 0.0803 2.4602 1.0962 0.4410 
0.1000 0.6014 0.3986 1.0976 0.0775 2.5161 1.1108 0.4498 
0.1000 0.6111 0.3889 1.0944 0.0747 2.5456 1.1152 0.4585 
0.1000 0.6209 0.3791 1.0913 0.0720 2.5812 1.1216 0.4680 
0.1000 0.6306 0.3694 1.0881 0.0698 2.6311 1.1316 0.4787 
0.1000 0.6404 0.3596 1.0850 0.0677 2.6800 1.1493 0.4905 
0.1000 0.6502 0.3498 1.0824 0.0653 2.7293 1.1654 0.5033 
0.1000 0.6599 0.3401 1.0799 0.0626 2.7875 1.1786 0.5170 
0.1000 0.6697 0.3303 1.0769 0.0597 2.8556 1.1872 0.5307 
0.1000 0.6794 0.3206 1.0741 0.0573 2.9247 1.1941 0.5430 
